Name	Chr	Start	End	Strand
Hnf4g	chr3	3508030	3659775	+
AC107454.1	chr3	3555465	3555556	+
Rps24-ps2	chr3	3791897	3792295	+
Gm8775	chr3	4211716	4212228	+
AC167016.1	chr3	4305193	4305293	-
n-R5s194	chr3	4338998	4339116	+
AC122735.1	chr3	4355004	4355096	+
SNORA38	chr3	4567203	4567335	-
Gm17308	chr3	5090276	5094776	+
2700069I18Rik	chr3	5177586	5220841	-
Gm10748	chr3	5212838	5215209	+
Zfhx4	chr3	5218526	5415855	+
4930555M17Rik	chr3	5512995	5515333	-
Pxmp3	chr3	5560188	5576239	-
AC124080.1	chr3	6338882	6338991	-
1700008P02Rik	chr3	6615413	6620443	-
SNORA17	chr3	6977268	6977380	+
Pkia	chr3	7366604	7445366	+
SNORA17	chr3	7501904	7502020	-
Fam164a	chr3	7503426	7553848	+
Il7	chr3	7572036	7613722	-
Gm16685	chr3	7612705	7690001	+
Gm7103	chr3	8215875	8216186	+
U6	chr3	8429158	8429264	+
Stmn2	chr3	8509527	8561604	+
Hey1	chr3	8663362	8667039	-
SNORA17	chr3	8679359	8679477	-
Mrps28	chr3	8802146	8923918	-
Gm15467	chr3	8881199	8881643	+
Gm15466	chr3	8882238	8882570	-
Tpd52	chr3	8928626	9004723	-
Zbtb10	chr3	9250602	9285333	+
7SK	chr3	9402175	9402485	+
C030034L19Rik	chr3	9403064	9437233	+
Zfp704	chr3	9427011	9610085	-
Pag1	chr3	9687479	9833679	-
Gm16337	chr3	9757607	9786142	+
5S_rRNA	chr3	9829620	9829728	-
Fabp5	chr3	10012548	10016607	+
Gm9833	chr3	10088173	10092564	+
Pmp2	chr3	10179851	10183885	-
Fabp9	chr3	10193626	10197222	-
Fabp4	chr3	10204347	10208576	-
Fabp12	chr3	10244209	10301183	-
Impa1	chr3	10313540	10331439	-
Slc10a5	chr3	10331734	10335656	-
Zfand1	chr3	10339953	10351317	-
Chmp4c	chr3	10366907	10391005	+
Snx16	chr3	10417819	10440124	-
SNORA17	chr3	10975469	10975586	-
Gm8910	chr3	11013518	11015193	-
AC127294.1	chr3	11154337	11154437	+
Gm8935	chr3	12855996	12856403	+
Gm2464	chr3	13471906	13474596	-
Ralyl	chr3	13776848	14182287	+
7SK	chr3	13845686	13845980	+
7SK	chr3	14029482	14029762	-
SNORA17	chr3	14267315	14267439	-
U7	chr3	14401731	14401788	+
Slc7a12	chr3	14480697	14505830	+
Lrrcc1	chr3	14533788	14572658	+
Gm17119	chr3	14564402	14564681	+
E2f5	chr3	14578671	14606308	+
1810022K09Rik	chr3	14606320	14611221	-
Car13	chr3	14641727	14663002	+
Gm5843	chr3	14722416	14729626	+
Car1	chr3	14766217	14778459	-
Car3	chr3	14863538	14872351	+
Car2	chr3	14886426	14900769	+
Gm9733	chr3	15296551	15332302	-
Sirpb1a	chr3	15371656	15426520	-
Sirpb1b	chr3	15495754	15575065	-
Sirpb1c	chr3	15695145	15748528	-
Gm5150	chr3	15848070	15906332	-
AC098884.1	chr3	15913818	15913927	+
RNaseP_nuc	chr3	16015615	16015943	-
Ythdf3	chr3	16083183	16117035	+
U6	chr3	16723249	16723312	-
SNORA48	chr3	17151301	17151444	-
Gm10742	chr3	17683514	17686898	-
Mir124a-2	chr3	17695662	17695770	+
U6atac	chr3	17703621	17703747	-
Cypt12	chr3	17848444	17848952	+
Gm5844	chr3	17908806	17910996	+
Bhlhe22	chr3	17954325	17957509	+
Cyp7b1	chr3	17971950	18143338	-
U1	chr3	18077462	18077625	-
Gm6369	chr3	18433861	18434289	+
Armc1	chr3	19032146	19063065	-
Mtfr1	chr3	19087327	19120817	+
Pde7a	chr3	19123108	19211322	-
Gm16093	chr3	19127780	19140987	+
7SK	chr3	19230773	19231084	+
Dnajc5b	chr3	19408595	19510862	+
U1	chr3	19460253	19460416	+
Gm6141	chr3	19484791	19485538	+
1700064H15Rik	chr3	19510368	19528677	-
Trim55	chr3	19544460	19591599	+
Crh	chr3	19593401	19595396	-
4632415L05Rik	chr3	19794886	19795962	+
Cp	chr3	19857054	19909145	+
Hps3	chr3	19895945	19935315	-
Hps3	chr3	19916917	19924958	-
Hltf	chr3	19957811	20018376	+
Gyg	chr3	20021970	20055216	-
Cpa3	chr3	20115516	20142080	-
Cpb1	chr3	20148163	20174655	-
Agtr1b	chr3	20213395	20266099	-
Gm7488	chr3	20948487	20949170	+
Tbl1xr1	chr3	21975574	22115516	+
RNaseP_nuc	chr3	22150296	22150585	+
SNORA17	chr3	22308845	22308973	-
AC138200.1	chr3	23112334	23112416	+
Gm7536	chr3	24231969	24232474	+
U6	chr3	24460996	24461102	+
7SK	chr3	24617638	24617903	+
Gm10259	chr3	25109938	25111352	-
Nlgn1	chr3	25330733	26032656	-
5S_rRNA	chr3	25444942	25445076	+
A830092H15Rik	chr3	26230072	26231300	+
AC107456.1	chr3	26525107	26525233	-
Spata16	chr3	26536542	26882134	+
Ect2	chr3	26996144	27052800	-
SNORA17	chr3	27007904	27008017	+
1700125G22Rik	chr3	27052948	27055941	+
Nceh1	chr3	27081887	27183530	+
Tnfsf10	chr3	27215950	27241349	+
Ghsr	chr3	27270273	27276932	+
Fndc3b	chr3	27315084	27610229	-
Mir3092	chr3	27483822	27483917	-
Tmem212	chr3	27764988	27795290	-
SNORA81	chr3	27767035	27767195	+
Pld1	chr3	27837602	28032284	+
Tnik	chr3	28162136	28574780	+
Mir446q	chr3	28318865	28318940	+
Slc2a2	chr3	28596825	28627278	+
1700112D23Rik	chr3	28601589	28680030	-
AC122490.1	chr3	28644523	28644604	+
Gm6505	chr3	28662453	28664314	-
Eif5a2	chr3	28680233	28697768	+
Gm17485	chr3	28694778	28701145	-
Rpl22l1	chr3	28704358	28706274	+
Gm1527	chr3	28791539	28825646	+
Egfem1	chr3	28980945	29590126	+
Mir551b	chr3	29315745	29315842	+
Mecom	chr3	29850221	30446930	-
Gm16722	chr3	29911301	29952107	+
Gm10258	chr3	30166747	30168869	-
Telomerase-vert	chr3	30494268	30494679	-
Arpm1	chr3	30495995	30498861	-
Mynn	chr3	30501009	30517414	+
Lrrc34	chr3	30523189	30546791	-
Lrriq4	chr3	30543429	30571353	+
Lrrc31	chr3	30577980	30598765	-
Gm15462	chr3	30585007	30591288	+
Samd7	chr3	30645215	30666096	+
Sec62	chr3	30691798	30720185	+
Gpr160	chr3	30754872	30796114	+
Phc3	chr3	30798217	30868337	-
Prkci	chr3	30894669	30951663	+
Skil	chr3	30993980	31021499	+
Cldn11	chr3	31048868	31063246	+
Slc7a14	chr3	31101832	31209300	-
Gm15496	chr3	31184509	31215813	+
Kcnmb2	chr3	31801429	32099102	+
Zmat3	chr3	32233718	32264600	-
4930429B21Rik	chr3	32264697	32266358	+
Pik3ca	chr3	32296593	32367408	+
Kcnmb3	chr3	32371243	32390891	-
Zfp639	chr3	32414217	32419607	+
Mfn1	chr3	32428387	32478161	+
Gnb4	chr3	32479254	32515507	-
Actl6a	chr3	32607468	32625890	+
Mrpl47	chr3	32624319	32636069	-
Ndufb5	chr3	32635912	32650488	+
Usp13	chr3	32716468	32836993	+
Gm15574	chr3	32778933	32779530	-
Pex5l	chr3	32848553	33042169	-
U4	chr3	32910880	32911036	+
4930419G24Rik	chr3	32923699	32987529	+
SNORA48	chr3	33291979	33292121	-
Ttc14	chr3	33698877	33713782	+
Ccdc39	chr3	33711284	33743232	-
SNORA17	chr3	33857991	33858122	-
Gm9791	chr3	33903939	33904385	-
Fxr1	chr3	33919001	33968264	+
Dnajc19	chr3	33954942	33980243	-
Sox2ot	chr3	34003360	34581541	+
Gm5708	chr3	34082229	34083114	+
Gm20446	chr3	34197440	34221211	-
Gm20514	chr3	34223741	34250637	-
Gm20515	chr3	34326295	34334019	-
Sox2	chr3	34548927	34551383	+
AC158547.1	chr3	35224536	35224627	+
U6	chr3	35634295	35634399	+
Atp11b	chr3	35653056	35755196	+
Dcun1d1	chr3	35791900	35836367	-
Gm15952	chr3	35831967	35841639	+
Mccc1	chr3	35858234	35899600	-
A330050B17Rik	chr3	35898755	35924028	+
Ccdc144b	chr3	35906169	35952469	-
Acad9	chr3	35964901	35993866	+
D3Ertd254e	chr3	36058444	36065142	+
Qrfpr	chr3	36078346	36121197	-
Anxa5	chr3	36347847	36374765	-
1810062G17Rik	chr3	36375057	36380898	+
Gm11548	chr3	36398726	36405731	-
Gm11549	chr3	36413979	36420735	-
Gm11550	chr3	36438305	36439003	-
Exosc9	chr3	36451528	36464651	+
Ccna2	chr3	36463788	36471072	-
Bbs7	chr3	36472064	36512399	-
Trpc3	chr3	36519404	36589089	-
Gm12377	chr3	36593724	36593975	-
Gm12376	chr3	36723274	36723880	-
4932438A13Rik	chr3	36762028	36951955	+
Gm12531	chr3	36951137	36958957	-
Adad1	chr3	36962449	37020846	+
Gm12582	chr3	36976577	36977273	+
Gm12583	chr3	37007096	37007948	+
Gm12584	chr3	37015656	37016760	+
Il2	chr3	37019445	37024881	-
Gm12532	chr3	37081807	37087515	+
Gm13621	chr3	37098901	37099901	-
Gm12533	chr3	37114762	37114899	-
Il21	chr3	37121681	37131540	-
Gm12534	chr3	37130255	37131391	+
AL691478.1	chr3	37155706	37155815	-
Cetn4	chr3	37206671	37211630	-
Fgf2	chr3	37211441	37304299	+
Bbs12	chr3	37211476	37220375	+
Gm12540	chr3	37225994	37226312	+
Gm12541	chr3	37234254	37248662	-
Nudt6	chr3	37303832	37319133	-
Spata5	chr3	37318818	37478018	+
Gm12563	chr3	37380414	37380515	+
Gm12564	chr3	37455105	37455425	-
Gm12565	chr3	37498346	37498994	-
4930594O21Rik	chr3	37512835	37514198	+
Spry1	chr3	37538869	37543520	+
Gm5148	chr3	37613112	37623412	-
Gm15450	chr3	37613662	37614100	+
SNORA17	chr3	37701466	37701574	-
Gm7799	chr3	37858534	37859009	-
SNORA17	chr3	37894027	37894157	-
Rpl21-ps10	chr3	38006330	38006877	-
AC162799.1	chr3	38166760	38167006	-
Ankrd50	chr3	38348183	38383766	-
AC114901.1	chr3	38457031	38457136	-
C230034O21Rik	chr3	38773492	38787181	-
Fat4	chr3	38785862	38910907	+
Gm9845	chr3	39257180	39257827	-
n-R5s195	chr3	39534886	39535004	-
U1	chr3	39565210	39565369	+
SNORA17	chr3	39698554	39698638	-
